,m/z,I,I %,Res.,S/N
16101,479.00214,7681721,0.1,543375,4.4
16102,479.02573,9668378,0.1,511383,6.2
16103,479.03859,11043663,0.1,541377,7.4
16104,479.04083,40055640,0.4,467428,32.9
16105,479.05212,11240326,0.1,483196,7.5
16106,479.05607,7312278,0.1,678922,4.1
16107,479.06029,9710504,0.1,550283,6.2
16108,479.06199,14431151,0.2,431561,10.4
16109,479.06458,9248697,0.1,474259,5.8
16110,479.07353,7282654,0.1,577271,4.1
16111,479.07586,11320296,0.1,634585,7.6
16112,479.07723,38478829,0.4,472461,31.5
16113,479.0885,13067292,0.1,477201,9.2
16114,479.09234,10572843,0.1,525420,7.0
16115,479.09668,7478333,0.1,546724,4.2
16116,479.09844,15608900,0.2,526055,11.4
16117,479.11224,8254589,0.1,643435,4.9
16118,479.11361,22905987,0.2,464336,17.8
16119,479.1201,7740573,0.1,533807,4.5
16120,479.12838,7474367,0.1,508220,4.2
16121,479.13341,10405077,0.1,659731,6.8
16122,479.13467,21345498,0.2,532694,16.4
16123,479.14997,11259160,0.1,565835,7.6
16124,479.17112,22918511,0.2,489817,17.8
16125,479.20747,32843269,0.4,491347,26.6
16126,479.24382,32855706,0.4,436489,26.6
16127,479.2802,30271280,0.3,457614,24.3
16128,479.31639,7451589,0.1,251265,4.2
16129,479.37437,7531700,0.1,396651,4.3
16130,479.41561,7508318,0.1,487068,4.3
16131,479.48328,8859253,0.1,441762,5.5
16132,479.51449,7686389,0.1,280193,4.4
16133,479.55926,7554990,0.1,362931,4.3
16134,479.74181,7673503,0.1,439679,4.4
16135,479.88536,7585009,0.1,383116,4.3
16136,479.95345,7296010,0.1,476678,4.1
16137,479.99752,8259265,0.1,555120,4.9
16138,480.01004,7515892,0.1,416387,4.3
16139,480.01289,7937792,0.1,589076,4.6
16140,480.03613,22479712,0.2,474345,17.4
16141,480.04426,10771330,0.1,600529,7.1
16142,480.04873,12133268,0.1,449621,8.3
16143,480.06982,7821292,0.1,511942,4.5
16144,480.07251,28447735,0.3,497988,22.7
16145,480.08056,13409304,0.1,388466,9.5
16146,480.08509,13038635,0.1,460420,9.1
16147,480.08795,9817143,0.1,520651,6.3
16148,480.09576,8704087,0.1,542759,5.3
16149,480.1019,8123504,0.1,378602,4.8
16150,480.10895,17773710,0.2,512285,13.3
16151,480.11704,8036527,0.1,525751,4.7
16152,480.13007,9764069,0.1,533077,6.2
16153,480.1453,15209765,0.2,501154,11.0
16154,480.1665,10635644,0.1,444217,7.0
16155,480.17457,7593374,0.1,549119,4.3
16156,480.18178,7553467,0.1,493056,4.3
16157,480.20284,9211411,0.1,424305,5.8
16158,480.21083,8859188,0.1,676970,5.4
16159,480.24722,12090058,0.1,418468,8.3
16160,480.2837,10355554,0.1,453766,6.8
16161,480.5343,7349106,0.1,342567,4.1
16162,480.54637,7486372,0.1,492121,4.2
16163,480.66699,7426970,0.1,345348,4.2
16164,480.73573,8204472,0.1,423148,4.9
16165,480.76212,8545061,0.1,211386,5.2
16166,480.78605,9564041,0.1,366963,6.1
16167,480.85081,8692375,0.1,362687,5.3
16168,480.89213,7580483,0.1,443395,4.3
16169,481.00571,8328988,0.1,342565,5.0
16170,481.01772,9700174,0.1,542798,6.2
16171,481.02023,22303577,0.2,431080,17.3
16172,481.05502,13685738,0.1,594270,9.7
16173,481.0565,49296368,0.5,449762,41.0
16174,481.05787,9241590,0.1,810587,5.8
16175,481.07173,15713328,0.2,485636,11.5
16176,481.07609,8431170,0.1,410760,5.1
16177,481.09287,36791432,0.4,423779,30.0
16178,481.09677,8477336,0.1,362511,5.1
16179,481.11401,11244768,0.1,565054,7.5
16180,481.12926,21890336,0.2,470712,16.9
16181,481.14659,7994728,0.1,622374,4.7
16182,481.15038,14849400,0.2,492483,10.7
16183,481.16572,12438968,0.1,501339,8.6
16184,481.18684,21382672,0.2,473054,16.5
16185,481.20204,7951952,0.1,423183,4.6
16186,481.20785,7985768,0.1,534145,4.7
16187,481.2232,30553768,0.3,463604,24.5
16188,481.22791,7369403,0.1,601597,4.1
16189,481.25786,10862393,0.1,428106,7.2
