,m/z,I,I %,Res.,S/N
303,209.0931,6294388,0.1,1274834,6.0
304,209.09839,5119294,0.1,522489,4.4
305,209.10535,5744846,0.1,1042354,5.3
306,209.10658,5129374,0.1,1441643,4.4
307,209.11215,4880504,0.1,1039437,4.1
308,209.13058,5662763,0.1,798264,5.2
309,209.14883,5197037,0.1,975273,4.5
310,209.1547,75018685,1.7,963295,99.3
311,209.16238,5108677,0.1,1404070,4.4
312,209.1632,6539089,0.1,944402,6.3
313,209.16871,4949609,0.1,828750,4.2
314,209.16962,5236215,0.1,1188879,4.6
315,209.17523,4970823,0.1,1702896,4.2
316,209.18365,5758041,0.1,1130277,5.3
317,209.19016,4929586,0.1,967275,4.2
318,209.19178,5666944,0.1,1120993,5.2
319,209.19905,5073338,0.1,1066411,4.4
320,209.21922,4812493,0.1,880357,4.0
321,209.21958,4935202,0.1,1346912,4.2
322,209.22973,5604475,0.1,1046764,5.1
323,209.23026,4846225,0.1,1322650,4.0
324,209.23563,5143878,0.1,408258,4.5
325,209.24834,5671747,0.1,1027301,5.2
326,209.25481,5364250,0.1,1212718,4.8
327,209.2624,5450335,0.1,1006635,4.9
328,209.26967,5016369,0.1,1222970,4.3
329,209.27209,5289653,0.1,727327,4.6
330,209.27434,5070142,0.1,1111923,4.4
331,209.27871,5894968,0.1,1215272,5.5
332,209.28974,5405440,0.1,767374,4.8
333,209.29259,5007554,0.1,693022,4.3
334,209.30669,5555884,0.1,1207823,5.0
335,209.31505,5069543,0.1,832853,4.4
336,209.31586,4977529,0.1,1321426,4.2
337,209.317,5125786,0.1,709429,4.4
338,209.33285,4877382,0.1,810044,4.1
339,209.34087,5299474,0.1,1574241,4.7
340,209.39412,5838906,0.1,835446,5.4
341,209.39671,4826345,0.1,1136195,4.0
342,209.40927,4978447,0.1,1346990,4.2
343,209.41057,5038957,0.1,1262843,4.3
344,209.4321,5546514,0.1,849988,5.0
345,209.44145,6517389,0.1,632120,6.3
346,209.44354,5101167,0.1,736520,4.4
347,209.47235,4822284,0.1,989099,4.0
348,209.47451,4945191,0.1,1178273,4.2
349,209.5022,5377479,0.1,910987,4.8
350,209.51532,5408893,0.1,1429539,4.8
351,209.52234,5032707,0.1,925398,4.3
352,209.52802,6650517,0.1,1202120,6.5
353,209.52909,5306905,0.1,1059162,4.7
354,209.535,6039083,0.1,879609,5.7
355,209.54519,4838646,0.1,1311730,4.0
356,209.57778,5102288,0.1,1094472,4.4
357,209.589,4975343,0.1,1092900,4.2
358,209.5926,6396814,0.1,1023827,6.2
359,209.59438,5154741,0.1,1101305,4.5
360,209.59813,4933700,0.1,1073163,4.2
361,209.60726,6247859,0.1,930372,5.9
362,209.61595,4947305,0.1,974055,4.2
363,209.61893,5370230,0.1,414522,4.8
364,209.62996,5082300,0.1,1273544,4.4
365,209.63467,5181187,0.1,548411,4.5
366,209.63513,4973617,0.1,1559486,4.2
367,209.6415,5118039,0.1,885295,4.4
368,209.64569,5448782,0.1,1303028,4.9
369,209.64914,5355608,0.1,1391020,4.7
370,209.65025,5791182,0.1,941512,5.3
371,209.6619,4856391,0.1,842493,4.1
372,209.66889,6293174,0.1,1195235,6.0
373,209.67074,4913996,0.1,1221289,4.1
374,209.67319,5776319,0.1,1067854,5.3
375,209.67472,4816841,0.1,1145002,4.0
376,209.67675,5027048,0.1,1212331,4.3
377,209.67868,6036957,0.1,479550,5.7
378,209.68004,5042887,0.1,962921,4.3
379,209.68242,4908620,0.1,1033858,4.1
380,209.68798,5118609,0.1,1125105,4.4
381,209.70155,5272150,0.1,806030,4.6
382,209.70308,4825412,0.1,533298,4.0
383,209.70602,5465015,0.1,883154,4.9
384,209.72774,5472208,0.1,1014003,4.9
385,209.73055,5218240,0.1,1032539,4.6
386,209.73485,5363635,0.1,733750,4.8
387,209.76074,5925826,0.1,789960,5.5
388,209.76232,5883294,0.1,1219462,5.5
389,209.76774,4812932,0.1,1147695,4.0
390,209.76872,5217464,0.1,1186834,4.6
391,209.77421,5598866,0.1,1078138,5.1
392,209.78748,5532644,0.1,1011847,5.0
393,209.79069,5099879,0.1,1047678,4.4
394,209.79147,5190157,0.1,1037348,4.5
395,209.7945,5367538,0.1,1055791,4.8
396,209.7969,5773763,0.1,1325640,5.3
397,209.79941,4946211,0.1,511932,4.2
398,209.8236,5424047,0.1,1100607,4.8
