,m/z,I,I %,Res.,S/N
9551,335.06023,10820779,1.9,626767,9.1
9552,335.06734,13055677,2.3,839696,11.5
9553,335.07577,14907090,2.6,618386,13.5
9554,335.0763,24959700,4.3,677219,24.2
9555,335.07724,241361622,41.8,505236,254.7
9556,335.08035,7426014,1.3,455292,5.5
9557,335.08489,7727337,1.3,389282,5.8
9558,335.08846,36816626,6.4,506474,36.8
9559,335.09252,24107773,4.2,582964,23.3
9560,335.09658,12651271,2.2,671247,11.1
9561,335.09836,13067019,2.3,521111,11.5
9562,335.10365,9209625,1.6,587292,7.4
9563,335.11,6149929,1.1,882718,4.2
9564,335.11272,21195568,3.7,725280,20.2
9565,335.11365,184714034,32.0,539104,194.4
9566,335.11722,6760251,1.2,813824,4.8
9567,335.1249,18578255,3.2,670756,17.4
9568,335.12898,9358169,1.6,811640,7.6
9569,335.13293,7502179,1.3,597304,5.6
9570,335.136,6529899,1.1,786862,4.6
9571,335.15002,87397262,15.1,531596,90.7
9572,335.18628,23398378,4.1,489410,22.5
9573,335.22256,6198598,1.1,601505,4.2
9574,335.37216,6156738,1.1,519301,4.2
9575,335.41511,6064175,1.0,586563,4.1
9576,335.54921,6415493,1.1,596029,4.4
9577,335.61559,6217263,1.1,561006,4.2
9578,335.69622,7014653,1.2,553126,5.1
9579,335.75525,6045972,1.0,500299,4.1
9580,335.90262,6062862,1.0,759026,4.1
9581,335.99118,7514354,1.3,604580,5.6
9582,336.01232,7552553,1.3,709280,5.7
9583,336.01511,13635632,2.4,497549,12.1
9584,336.01985,9337404,1.6,294906,7.6
9585,336.02185,6058049,1.0,813718,4.1
9586,336.02323,11537989,2.0,664297,9.9
9587,336.02613,6297164,1.1,590261,4.3
9588,336.0276,21767248,3.8,616568,20.8
9589,336.03619,29113446,5.0,536576,28.6
9590,336.03829,8581483,1.5,540325,6.8
9591,336.04328,8481400,1.5,244670,6.6
9592,336.04424,37633147,6.5,570031,37.7
9593,336.04869,10615430,1.8,531258,8.9
9594,336.05141,37979277,6.6,600096,38.1
9595,336.05651,8139931,1.4,845453,6.3
9596,336.05953,14852258,2.6,711748,13.4
9597,336.0627,11100842,1.9,621724,9.4
9598,336.06403,8921774,1.5,660144,7.1
9599,336.07183,12672194,2.2,795636,11.1
9600,336.07251,74718404,12.9,582337,77.2
9601,336.0797,6068438,1.1,992785,4.1
9602,336.08061,41639129,7.2,506619,42.0
9603,336.08358,13275360,2.3,604047,11.8
9604,336.08782,16073963,2.8,495424,14.7
9605,336.09177,10356981,1.8,762689,8.6
9606,336.09358,7851258,1.4,579747,6.0
9607,336.10891,49511714,8.6,551659,50.3
9608,336.11537,6036530,1.0,564819,4.0
9609,336.11699,33905974,5.9,561382,33.7
9610,336.12013,15049023,2.6,701868,13.6
9611,336.12401,6125385,1.1,770591,4.1
9612,336.13008,6693720,1.2,726562,4.7
9613,336.1453,17853824,3.1,637384,16.6
9614,336.15339,15669652,2.7,674189,14.3
9615,336.15653,7085980,1.2,750509,5.2
9616,336.18941,6192625,1.1,471638,4.2
9617,336.36465,6109111,1.1,705317,4.1
9618,336.37718,6437080,1.1,368431,4.5
9619,336.40087,7103509,1.2,822388,5.1
9620,336.46212,6575028,1.1,501284,4.6
9621,336.51753,7458628,1.3,739455,5.5
