,m/z,I,I %,Res.,S/N
448,210.48653,5266881,0.2,1321424,4.4
449,210.49135,4982865,0.1,861055,4.0
450,210.49811,5550509,0.2,855066,4.8
451,210.50812,5328927,0.2,940347,4.5
452,210.52381,5337088,0.2,1149224,4.5
453,210.52427,5613893,0.2,978952,4.8
454,210.55196,5066862,0.1,719636,4.1
455,210.56828,5699819,0.2,860908,4.9
456,210.57252,5718322,0.2,1131889,5.0
457,210.57371,5103950,0.1,1182742,4.2
458,210.57409,5189137,0.2,1252413,4.3
459,210.57888,6389116,0.2,1007574,5.8
460,210.58495,5899670,0.2,638241,5.2
461,210.58881,5273836,0.2,1204052,4.4
462,210.59155,5462797,0.2,420290,4.6
463,210.60547,6461156,0.2,1001140,5.9
464,210.61429,5312421,0.2,977171,4.4
465,210.63001,5450431,0.2,755098,4.6
466,210.65344,5282213,0.2,1255622,4.4
467,210.65878,5035051,0.1,1274161,4.1
468,210.66059,5589658,0.2,930652,4.8
469,210.66524,6720198,0.2,876141,6.3
470,210.6656,5163528,0.2,1242345,4.2
471,210.6835,5368176,0.2,967565,4.5
472,210.69702,5035273,0.1,1155104,4.1
473,210.7083,5207681,0.2,1184605,4.3
474,210.72323,5605587,0.2,1230657,4.8
475,210.72926,5879519,0.2,740455,5.2
476,210.72987,5150481,0.1,1215715,4.2
477,210.74047,5912093,0.2,1099514,5.2
478,210.77884,5235399,0.2,1146784,4.3
479,210.78252,5443194,0.2,1211437,4.6
480,210.78305,5264954,0.2,1138523,4.4
481,210.7878,5086276,0.1,995826,4.1
482,210.79118,5100723,0.1,1093744,4.2
483,210.80234,5780203,0.2,1037934,5.1
484,210.80623,5160319,0.2,843311,4.2
485,210.8113,5019561,0.1,557649,4.1
486,210.81273,5093753,0.1,1172236,4.2
487,210.82001,5197316,0.2,1065433,4.3
488,210.82489,6690110,0.2,867802,6.2
489,210.83209,5150052,0.1,1168077,4.2
490,210.83639,5203494,0.2,1404331,4.3
491,210.86071,5663753,0.2,1172835,4.9
492,210.89015,5446115,0.2,1331746,4.6
493,210.89508,5414701,0.2,1201003,4.6
494,210.89603,5182281,0.2,1367324,4.3
495,210.91987,5831516,0.2,941311,5.1
496,210.92111,5635348,0.2,651028,4.9
497,210.92298,5199847,0.2,1035610,4.3
498,210.92592,5089120,0.1,818483,4.1
499,210.93586,5861626,0.2,1026343,5.2
500,210.93969,5726105,0.2,1059928,5.0
501,210.94822,5055542,0.1,1072040,4.1
502,210.96299,5019444,0.1,1322530,4.1
503,210.97729,4997399,0.1,819095,4.0
504,210.99169,5566398,0.2,1076538,4.8
505,211.00127,5087949,0.1,556633,4.1
506,211.00416,5059683,0.1,1066802,4.1
507,211.00776,6005992,0.2,1241452,5.3
508,211.01131,5084003,0.1,805651,4.1
509,211.02409,5107214,0.1,529207,4.2
510,211.02482,26569382,0.8,1032464,32.3
511,211.03164,5150835,0.1,1340957,4.2
512,211.04008,10849840,0.3,1149442,11.7
513,211.0469,6029644,0.2,783378,5.4
514,211.057,6445032,0.2,778181,5.9
515,211.06119,24219544,0.7,1135979,29.2
516,211.07128,5260927,0.2,933955,4.4
517,211.07638,5387287,0.2,1393679,4.5
518,211.0976,7438063,0.2,901033,7.2
519,211.10337,5329593,0.2,993996,4.5
520,211.114,5138055,0.1,1015880,4.2
521,211.11764,5163220,0.2,561553,4.2
522,211.1292,4980032,0.1,1310897,4.0
523,211.13396,127799086,3.7,958569,164.8
524,211.15908,5560153,0.2,681572,4.8
525,211.16145,6488196,0.2,1117644,6.0
526,211.1653,5062479,0.1,1062150,4.1
527,211.16904,7417461,0.2,880221,7.2
528,211.17035,34161953,1.0,1006353,42.2
529,211.17885,5655146,0.2,1089045,4.9
530,211.18112,5518429,0.2,1056092,4.7
531,211.18258,5365388,0.2,1016000,4.5
532,211.1953,6175880,0.2,926630,5.6
533,211.21469,6283285,0.2,551628,5.7
534,211.22421,5118293,0.1,1059666,4.2
535,211.22697,5999872,0.2,1136677,5.3
536,211.23204,6446054,0.2,647314,5.9
537,211.24764,5704289,0.2,1052127,5.0
538,211.2504,6139192,0.2,684891,5.5
539,211.25723,5849401,0.2,958568,5.1
540,211.27088,5133712,0.1,1083718,4.2
541,211.27948,5501169,0.2,1157940,4.7
542,211.28418,5297127,0.2,886787,4.4
543,211.2849,6216203,0.2,1066748,5.6
544,211.28779,5828262,0.2,1281701,5.1
545,211.30417,5053918,0.1,913807,4.1
546,211.3106,5892454,0.2,650638,5.2
547,211.31767,5050495,0.1,934227,4.1
548,211.31933,5340909,0.2,1039123,4.5
549,211.31999,5012976,0.1,988580,4.0
550,211.32301,6265009,0.2,1208622,5.7
551,211.34296,5726678,0.2,1124435,5.0
552,211.34864,5031672,0.1,1205902,4.1
553,211.36488,5787796,0.2,654784,5.1
554,211.38335,5075161,0.1,940843,4.1
555,211.39115,5083097,0.1,1388299,4.1
556,211.41527,5454936,0.2,833159,4.6
557,211.44243,5017540,0.1,984935,4.1
558,211.45295,5492270,0.2,1276739,4.7
559,211.45542,5180903,0.2,1028194,4.3
560,211.4569,5081941,0.1,1172816,4.1
561,211.46032,5534537,0.2,944106,4.7
562,211.46639,5046829,0.1,753537,4.1
563,211.46868,5207324,0.2,1349313,4.3
564,211.48844,4993525,0.1,1212054,4.0
565,211.49926,5640737,0.2,1290295,4.9
566,211.49971,5203375,0.2,995642,4.3
567,211.50372,5917962,0.2,807430,5.2
568,211.51212,5518749,0.2,1328905,4.7
569,211.51579,5090543,0.1,1141920,4.1
570,211.51937,5122926,0.1,1210478,4.2
571,211.52533,5081380,0.1,1083532,4.1
572,211.52696,4985691,0.1,660899,4.0
573,211.52925,5315710,0.2,961208,4.4
574,211.53935,5111939,0.1,1053305,4.2
575,211.55632,5492426,0.2,579403,4.7
576,211.56084,5641063,0.2,1050954,4.9
577,211.56586,5837157,0.2,1231673,5.1
578,211.57414,5492832,0.2,798063,4.7
579,211.57763,5061723,0.1,1023252,4.1
580,211.5908,6484126,0.2,808930,6.0
581,211.5956,4978266,0.1,1406832,4.0
582,211.6118,5889911,0.2,809606,5.2
583,211.62399,5253258,0.2,939945,4.4
584,211.64671,5404540,0.2,991758,4.6
585,211.6586,4996406,0.1,516781,4.0
586,211.67422,5785714,0.2,1046453,5.1
587,211.67574,5556929,0.2,1002162,4.8
588,211.67653,5943547,0.2,848529,5.3
589,211.68275,5037971,0.1,1450170,4.1
590,211.68665,6207917,0.2,992341,5.6
591,211.71274,5793296,0.2,1239102,5.1
592,211.72508,6378396,0.2,996770,5.8
593,211.73379,5061612,0.1,1010253,4.1
594,211.74624,5113592,0.1,1020036,4.2
595,211.74707,5192428,0.2,1140375,4.3
596,211.76127,5669931,0.2,1362780,4.9
597,211.76449,5145829,0.1,1053890,4.2
598,211.77122,5205375,0.2,1200175,4.3
599,211.77606,5038777,0.1,926262,4.1
600,211.78987,5552764,0.2,863097,4.8
601,211.79972,5443389,0.2,960419,4.6
602,211.80293,5850639,0.2,1063207,5.1
603,211.8222,5082556,0.1,1021318,4.1
604,211.82338,5601660,0.2,1043703,4.8
605,211.82605,5447999,0.2,1233472,4.6
606,211.849,5048595,0.1,1172702,4.1
607,211.84977,7016739,0.2,741731,6.7
608,211.85425,5459433,0.2,917326,4.6
609,211.85586,5998352,0.2,1292671,5.3
610,211.85645,5485856,0.2,1037482,4.7
611,211.85938,5223471,0.2,1062703,4.3
612,211.87331,5222438,0.2,974322,4.3
613,211.8922,5493781,0.2,830299,4.7
614,211.90092,6031584,0.2,736572,5.4
615,211.90368,5851707,0.2,1041563,5.1
