,m/z,I,I %,Res.,S/N
26694,966.25699,14433528,1.4,181925,4.8
26695,966.98068,12813922,1.3,236549,4.0
26696,967.1416,13608623,1.3,274259,4.4
26697,967.17992,16004801,1.6,282711,5.6
26698,967.20143,14128843,1.4,347010,4.7
26699,967.21575,14042834,1.4,248853,4.6
26700,967.83678,13756400,1.4,278948,4.5
26701,968.70472,13384036,1.3,209997,4.3
26702,969.12195,13763084,1.4,212898,4.5
26703,969.13848,13898258,1.4,200489,4.6
26704,969.15933,14899738,1.5,253880,5.1
26705,969.19515,17279528,1.7,250001,6.3
26706,969.23209,14715447,1.5,231924,5.0
26707,969.26979,17209925,1.7,301673,6.2
26708,969.30575,13568595,1.3,319805,4.4
26709,969.45791,12812942,1.3,202906,4.0
26710,969.54396,13314734,1.3,281727,4.3
26711,969.57078,13601464,1.3,152363,4.4
26712,970.18335,13581207,1.3,255222,4.4
26713,970.29379,17050557,1.7,181914,6.2
26714,970.73771,13026388,1.3,205676,4.1
26715,970.85246,13767289,1.4,113021,4.5
26716,971.13637,14843092,1.5,287561,5.0
26717,971.15349,22207705,2.2,231653,8.8
26718,971.17509,16850144,1.7,146026,6.1
26719,971.18839,13350116,1.3,169000,4.3
26720,971.24723,13147383,1.3,321883,4.2
26721,971.25754,14828794,1.5,133907,5.0
26722,972.21278,15330833,1.5,155272,5.3
26723,972.28436,13809188,1.4,141509,4.5
26724,972.5483,13164139,1.3,244744,4.2
26725,972.73698,14468764,1.4,212937,4.9
26726,973.19013,15687436,1.5,292779,5.5
26727,974.14545,13443041,1.3,245893,4.3
26728,974.45817,15685664,1.5,137455,5.5
26729,974.7234,12824659,1.3,212517,4.0
26730,974.83031,12939367,1.3,185600,4.1
26731,975.16837,16277667,1.6,140779,5.8
26732,975.2053,14799018,1.5,258881,5.0
26733,975.24284,15016112,1.5,278359,5.1
26734,975.45277,16027859,1.6,265632,5.6
26735,975.51826,12863710,1.3,157850,4.0
26736,976.03502,13379886,1.3,133905,4.3
26737,976.17395,13640002,1.3,235294,4.4
26738,976.28302,14987602,1.5,282450,5.1
26739,976.84843,13754780,1.4,255336,4.5
26740,977.25757,14246348,1.4,225137,4.7
26741,977.36678,13570520,1.3,269239,4.4
26742,977.74183,13736447,1.4,237020,4.5
26743,978.26756,12862000,1.3,171457,4.0
26744,978.70027,12890706,1.3,203774,4.1
26745,978.85482,14242398,1.4,220097,4.7
26746,979.03067,13169258,1.3,184049,4.2
26747,979.07982,13345389,1.3,251492,4.3
26748,979.14143,20103793,2.0,223482,7.7
26749,979.16311,17506930,1.7,208771,6.4
