mz,Intensity,s_n,res
226.7707,1132878,4.5,1162962
226.78939,1141042,4.6,1362575
226.79754,1210139,5,1293208
226.80785,1077621,4.2,835420
226.81445,1155190,4.7,985344
226.8566,1064034,4.1,1150929
226.89104,1057585,4.1,1170753
226.90106,1095382,4.3,1544237
226.91149,1160384,4.7,889043
226.9133,1172321,4.8,1510516
226.95419,1098617,4.3,1309528
226.9642,1093843,4.3,764990
226.96581,1201867,4.9,1348171
226.9701,1239276,5.1,1126886
226.97155,1070036,4.2,1394636
226.98067,1062118,4.1,1405437
227.01764,1230413,5.1,1214401
227.02085,1152837,4.6,1184695
227.05137,1107923,4.4,780329
227.05335,1042876,4,1148785
227.06437,1067390,4.2,1327892
227.07572,1050528,4.1,1387282
227.0766,1297816,5.5,864552
227.15774,1045044,4,1141675
227.18863,1108031,4.4,1152607
227.24989,1166187,4.7,1097783
227.29805,1096505,4.3,1084248
227.30668,1274927,5.3,1148773
227.30967,1217295,5,1187495
227.32834,1102107,4.4,1194747
227.33468,1354732,5.8,926316
227.35071,1210352,5,1124266
227.35138,1153892,4.7,1087315
227.36883,1210099,5,1214238
227.42141,1224558,5.1,1568412
227.42204,1092530,4.3,857680
227.42491,1145367,4.6,788648
227.427,1200712,4.9,1147181
227.45932,1263950,5.3,1370947
227.48986,1125873,4.5,1077006
227.51738,1135651,4.5,1103440
227.52796,1167397,4.7,1109434
227.54046,1398776,6.1,1365976
227.54796,1087397,4.3,780853
227.55916,1043424,4,880870
227.5861,1111833,4.4,1307740
227.63041,1088883,4.3,1433106
227.67909,1125870,4.5,1162978
227.74325,1203516,4.9,1204936
227.77391,1122259,4.5,759937
227.83466,1103112,4.4,1394368
227.84697,1227475,5.1,1592899
227.85418,1082685,4.2,1193624
227.86396,1107631,4.4,1315618
227.86546,1047967,4,1611498
227.87417,1259265,5.3,1242384
227.89201,1054693,4.1,1147118
227.90936,1185557,4.8,876958
227.91129,1046946,4,1214583
227.93758,1043076,4,897940
227.93819,1207852,5,825266
227.95037,1136547,4.6,1054844
227.96863,1042111,4,1274747
228.03508,1235414,5.1,1352113
228.0582,1046100,4,1454651
228.10585,1362159,5.8,1083289
228.14816,1106449,4.4,1185864
228.15436,1341258,5.7,1221587
228.16121,1043964,4,1334198
228.16599,1050909,4.1,1488978
228.17092,1114422,4.4,1282964
228.22421,1116043,4.4,1058864
228.23977,1202911,4.9,1135556
228.30213,1054174,4.1,1062707
228.30256,1293926,5.4,856483
228.30394,1097938,4.3,1057705
228.31304,1054713,4.1,1118311
228.3161,1044793,4,1150733
228.38667,1103167,4.3,873888
228.39779,1229070,5.1,871027
228.46073,1352993,5.8,813603
228.46179,1083006,4.2,1611698
228.47663,1353065,5.8,1187188
228.48328,1093575,4.3,1003459
228.48632,1046832,4,1172739
228.49188,1142597,4.6,1560909
228.52732,1249846,5.2,1091117
228.53609,1112260,4.4,977106
228.65498,1090471,4.3,1545126
228.6626,1056733,4.1,1082840
228.66539,1191921,4.8,1330272
228.68976,1329560,5.6,1304369
228.75427,1176953,4.8,1479446
228.75964,1239962,5.1,1255491
228.76174,1104955,4.3,1189182
228.7901,1061930,4.1,1187710
228.79497,1097083,4.3,1209513
228.82783,1122852,4.5,1364901
228.82953,1050781,4,977276
228.83608,1156230,4.6,1355980
228.84434,1207281,4.9,1186303
228.85026,1056434,4.1,1256418
228.86039,1073181,4.2,1182644
228.87683,1062941,4.1,755130
