mz,Intensity,s_n,res
227.79325,1107525,4.4,1050846
227.85919,1052465,4,763132
227.87144,1075139,4.2,1129738
227.88419,1116722,4.4,1439075
227.9061,1434535,6.2,1149428
227.90715,1093528,4.3,813668
227.92922,1084189,4.2,1198140
227.96898,1265970,5.3,943194
227.97116,1087247,4.2,1220293
228.01788,1221564,5,682056
228.05487,1091875,4.3,1256299
228.06129,1091148,4.3,1497228
228.08072,1095657,4.3,1033028
228.08116,1110801,4.4,1270500
228.11939,1096962,4.3,894993
228.13485,1075934,4.2,1505279
228.153,1046294,4,1075671
228.15566,1468387,6.4,938732
228.16076,1078132,4.2,1308656
228.18377,1233650,5.1,824104
228.20054,1283590,5.3,1262631
228.2058,1341343,5.7,1169345
228.20783,1084488,4.2,1215001
228.21352,1172425,4.7,1293299
228.21648,1047414,4,1105070
228.2232,1144047,4.6,1082837
228.2408,1096592,4.3,1660663
228.25211,1131779,4.5,1308782
228.26423,1161670,4.7,1187410
228.27826,1176689,4.7,1241037
228.29393,1072749,4.1,1131145
228.30178,1093731,4.3,1074253
228.36288,1055842,4,837292
228.38054,1272627,5.3,908362
228.42787,1307511,5.5,1010138
228.46042,1181935,4.8,1515522
228.46214,1173107,4.7,838515
228.4887,1116634,4.4,886076
228.52377,1144079,4.6,1173634
228.52947,1166833,4.7,1146960
228.55647,1215192,5,1077552
228.57946,1230906,5,826934
228.58081,1087950,4.2,944781
228.59878,1095547,4.3,1489715
228.60612,1306021,5.5,1316842
228.60736,1079401,4.2,1122460
228.6107,1065314,4.1,976321
228.62612,1048626,4,1557384
228.63011,1256543,5.2,671774
228.64849,1318240,5.5,1166865
228.65608,1311562,5.5,1446006
228.69247,1093644,4.3,1267581
228.69807,1259877,5.2,1258835
228.7931,1199375,4.9,1216025
228.79591,1116247,4.4,1267244
228.87421,1197405,4.9,1172043
228.9025,1124752,4.4,966090
228.92784,1157147,4.6,1322633
228.93953,1060711,4.1,1143451
228.96106,1150637,4.6,1067669
228.96965,1049975,4,1197047
228.97294,1062616,4.1,815898
228.9838,1080511,4.2,854054
229.01422,2900939,14.6,1345316
229.01759,1717900,7.8,1487659
229.03297,1290805,5.4,854934
229.03514,2957777,14.9,1612515
229.03535,4007985,20.9,1422117
229.05062,1556614,6.9,1474587
229.07152,1244859,5.1,2157578
229.07173,2486492,12.2,1440225
229.07747,1137493,4.5,1480230
229.09934,1077311,4.2,1119976
229.1129,1070215,4.1,1347085
229.13962,1084663,4.2,1350011
229.15889,1102468,4.3,1136058
229.17284,1159296,4.6,1078366
229.18598,1185740,4.8,1173866
229.19967,1175608,4.7,1541362
229.22103,1182270,4.8,1169485
229.22985,1056289,4,1143024
229.30347,1127470,4.5,1261444
229.38491,1053326,4,1188867
229.39317,1143632,4.5,997295
229.49073,1127176,4.5,824025
229.54035,1076428,4.2,1396334
229.567,1106465,4.3,888212
229.60087,1194287,4.8,1194183
229.60409,1057024,4.1,953648
229.61171,1081866,4.2,1199847
229.61348,1163295,4.7,962329
229.64471,1080004,4.2,1052333
229.66239,1072698,4.1,691236
229.73818,1053849,4,1211331
229.77876,1098918,4.3,1333399
229.78053,1157878,4.6,761264
229.79841,1056982,4.1,913645
229.81121,1089360,4.2,1403122
229.89996,1217668,5,896506
229.90583,1412814,6.1,965093
229.90723,1111438,4.4,1040053
229.91075,1074800,4.2,1531962
229.93315,1164047,4.7,1482585
229.94294,1176962,4.7,1237702
229.94453,1329514,5.6,1214798
229.94674,1205883,4.9,1442757
229.96361,1227544,5,1251492
229.96473,1177525,4.7,964401
229.99776,1214083,4.9,918650
230.01468,1050489,4,844527
230.02296,1091940,4.3,1049748
230.04217,1124674,4.4,1569566
230.06579,1208610,4.9,1234371
230.06721,1050618,4,1275373
230.06978,1082907,4.2,1022285
230.07714,1068173,4.1,1241619
230.11688,1079386,4.2,1183666
230.13997,1072026,4.1,971756
230.16243,1065021,4.1,816465
230.16432,1170042,4.7,1175357
230.16504,1075498,4.2,1377513
230.22123,1093957,4.3,1193874
230.23652,1049538,4,1256968
230.2525,1340715,5.7,829047
230.2846,1061610,4.1,1358574
230.33695,1059699,4,1107085
230.37321,1074504,4.1,1047223
230.38484,1091348,4.2,1087479
230.42693,1126868,4.4,868498
230.42944,1194343,4.8,905241
230.45197,1052338,4,1291718
