mz,Intensity,s_n,res
223.80875,1076015,4.2,1260816
223.82681,1132179,4.5,979185
223.83546,1063950,4.1,1694744
223.85307,1109791,4.4,1325003
223.89169,1188618,4.8,1242400
223.90097,1174899,4.8,1335521
223.90943,1312020,5.6,1246444
223.92306,1130053,4.5,1128318
223.9489,1123131,4.5,895590
223.98619,1049511,4,1284694
224.00824,1057621,4.1,994479
224.02656,1240758,5.1,1507426
224.03133,1083047,4.2,1740615
224.03413,1053563,4.1,1178829
224.04123,1168388,4.7,1178461
224.08066,1082635,4.2,1567921
224.09862,1127673,4.5,1260756
224.105,1249309,5.2,1037219
224.17045,1073148,4.2,1166019
224.1778,1333476,5.7,1227537
224.19979,1051664,4.1,923778
224.20035,1228466,5.1,1146858
224.27507,1085290,4.3,1131168
224.2893,1118387,4.4,590696
224.29344,1287687,5.4,1209015
224.31739,1093242,4.3,1217542
224.31792,1064486,4.1,1392394
224.34064,1082036,4.2,1385963
224.35564,1148550,4.6,1258085
224.44301,1119538,4.5,1231392
224.4642,1102565,4.4,1106479
224.48839,1129131,4.5,1142617
224.48994,1072267,4.2,1261583
224.49416,1089048,4.3,707430
224.56073,1151875,4.6,1284901
224.56234,1041631,4,1395722
224.56529,1063085,4.1,1001633
224.57042,1046356,4,1484268
224.6438,1161812,4.7,1313838
224.64519,1087952,4.3,733779
224.64607,1495364,6.6,1168022
224.67095,1049827,4.1,1253235
224.69295,1109137,4.4,1202123
224.82797,1121084,4.5,1242593
224.84547,1113738,4.4,1009574
224.85043,1089451,4.3,1326392
224.86047,1100284,4.3,1301895
224.87961,1196698,4.9,1261318
224.88147,1137558,4.6,1268141
224.89554,1075280,4.2,1145460
224.8975,1142664,4.6,1375621
224.91068,1250922,5.2,1327195
224.91309,1041146,4,1156178
224.9147,1073526,4.2,1008749
224.97043,1155553,4.7,1227433
224.98983,1098151,4.3,1061911
224.99392,1141300,4.6,938711
225.0221,1102663,4.4,1070366
225.04574,1086554,4.3,1149175
225.09738,1054312,4.1,1478615
225.1063,1059353,4.1,1291971
225.10905,1047746,4,1443569
225.141,1084750,4.3,1402107
225.16788,1043789,4,963037
225.19485,1075724,4.2,1070316
225.22615,1141444,4.6,947296
225.23017,1188517,4.8,864371
225.26173,1081531,4.2,876604
225.28689,1041252,4,883155
225.31163,1066827,4.1,1440336
225.3225,1376061,5.9,1111780
225.33986,1105119,4.4,1189326
225.34628,1122456,4.5,1037068
225.37496,1140800,4.6,1096070
225.38392,1073037,4.2,1405791
225.51181,1041998,4,1307955
225.51818,1140439,4.6,1297496
225.52621,1131288,4.5,1179781
225.52824,1103440,4.4,1248012
225.54447,1149855,4.6,934050
225.55997,1108133,4.4,1461560
225.56535,1279021,5.4,1214721
225.58826,1229121,5.1,1423828
225.60083,1068490,4.2,1052984
225.6505,1143129,4.6,672135
225.65361,1259946,5.3,1338925
225.65942,1228475,5.1,1266899
225.66458,1101343,4.3,953140
225.67327,1190381,4.9,1123509
225.70589,1079497,4.2,1294000
225.70955,1076402,4.2,1635044
225.71856,1194243,4.9,1053375
225.72105,1086243,4.3,1437600
225.73095,4051645,21.3,1064886
225.73499,1528373,6.8,955228
225.75361,1161280,4.7,786176
225.76849,1049310,4,1134359
225.78752,1147325,4.6,1315222
225.7966,1073190,4.2,1414812
