,M/z,Intensity,Relative,Resolution,Frequency,S/N
21956,469.00824,0.0293,0.3645168,733012,688760.217032,9.05
21957,469.01049,0.0197,0.2451852,920381,688756.914723,5.7
21958,469.01251,0.0222,0.2753737,1093309,688753.94492,6.54
21959,469.01462,0.0168,0.2082767,714541,688750.845655,4.66
21960,469.01541,0.0363,0.4506882,373481,688749.6846,11.47
21961,469.016,0.0493,0.6128874,420597,688748.813697,16.02
21962,469.01791,0.0236,0.2928209,1094396,688746.01318,7.03
21963,469.02014,0.0578,0.718002,829868,688742.739021,18.97
21964,469.0231,0.0963,1.1969281,852552,688738.390769,32.42
21965,469.02428,0.0213,0.26504,629470,688736.651685,6.25
21966,469.026,0.1349,1.6763875,973244,688734.135568,45.89
21967,469.02872,0.0275,0.3416304,787054,688730.142978,8.4
21968,469.03062,0.015,0.1869303,1232208,688727.341571,4.06
21969,469.03364,0.1012,1.256909,737059,688722.911471,34.11
21970,469.03538,0.0274,0.3406995,929664,688720.3569,8.38
21971,469.03922,0.0171,0.2128839,905879,688714.717707,4.79
21972,469.03966,0.0149,0.1850225,515073,688714.068428,4.01
21973,469.04126,0.4819,5.988039,911029,688711.718166,166.98
21974,469.04333,0.0197,0.2447808,573791,688708.678747,5.68
21975,469.04378,0.0165,0.2053383,541094,688708.023031,4.58
21976,469.04462,0.0383,0.4757211,643081,688706.796813,12.17
21977,469.04691,0.0225,0.2798317,652874,688703.421608,6.67
21978,469.05097,0.0268,0.3324609,162083,688697.464997,8.15
21979,469.05185,0.1471,1.8275865,454269,688696.170598,50.13
21980,469.05238,0.121,1.5031364,413177,688695.400146,41.02
21981,469.05338,0.0216,0.2679091,157578,688693.934055,6.33
21982,469.05426,0.0278,0.3456796,557010,688692.632585,8.52
21983,469.05469,0.0233,0.289434,512734,688692.003745,6.94
21984,469.05654,0.048,0.5967295,903740,688689.294342,15.57
21985,469.05743,0.0409,0.5077977,725123,688687.982446,13.07
21986,469.05955,0.035,0.4347906,781892,688684.864759,11.02
21987,469.06064,0.0353,0.4385267,758739,688683.264698,11.12
21988,469.06183,0.0287,0.3565138,238127,688681.514014,8.82
21989,469.0624,0.5139,6.3848181,892986,688680.683885,178.12
21990,469.06368,0.0216,0.2684167,1144853,688678.804768,6.35
21991,469.06509,0.0249,0.3090924,778204,688676.741138,7.49
21992,469.06756,0.0159,0.1974312,1093505,688673.110004,4.35
21993,469.07004,0.1084,1.3473411,738276,688669.461655,36.65
21994,469.07172,0.014,0.1734447,1155930,688667.002233,3.68
21995,469.07219,0.0142,0.1760796,600949,688666.313575,3.75
21996,469.07362,0.0479,0.5955927,918297,688664.204724,15.54
21997,469.07569,0.0368,0.4573978,798300,688661.175948,11.65
21998,469.07765,0.2682,3.3321376,857638,688658.290844,92.39
21999,469.07971,0.0206,0.2562878,163526,688655.264081,6.01
22000,469.08064,0.0357,0.4440666,797120,688653.899866,11.28
22001,469.08168,0.0362,0.4498804,509482,688652.376046,11.44
22002,469.08326,0.0146,0.1817193,1001177,688650.051779,3.91
22003,469.08626,0.0168,0.2084539,926094,688645.650641,4.66
22004,469.08735,0.0284,0.3527919,758341,688644.051043,8.72
22005,469.08822,0.0713,0.8853982,364481,688642.781634,23.67
22006,469.08881,0.093,1.1551443,410774,688641.903606,31.25
22007,469.08981,0.0258,0.3201458,1087933,688640.440473,7.8
22008,469.09072,0.057,0.7078053,803632,688639.103688,18.69
22009,469.09286,0.0184,0.2282474,1075832,688635.964784,5.22
22010,469.09377,0.0215,0.2677,653930,688634.627187,6.33
22011,469.09599,0.0144,0.1784961,729220,688631.364538,3.82
22012,469.09703,0.0199,0.2473084,775230,688629.843725,5.75
22013,469.09878,0.7493,9.309967,896890,688627.271284,260.27
22014,469.10008,0.0224,0.2789329,1082864,688625.368743,6.64
22015,469.10443,0.0154,0.1911894,380237,688618.973702,4.18
22016,469.10642,0.0311,0.3862507,1024999,688616.0606,9.66
22017,469.11002,0.0827,1.0271021,835856,688610.777703,27.65
22018,469.1119,0.0181,0.2248352,635522,688608.02198,5.12
22019,469.11403,0.1138,1.4140911,840472,688604.884401,38.52
22020,469.1172,0.0188,0.2331157,511415,688600.228449,5.36
22021,469.11806,0.0359,0.4466219,819427,688598.974768,11.35
22022,469.11998,0.0181,0.2255196,741704,688596.147945,5.14
22023,469.12125,0.0173,0.215397,986241,688594.288375,4.86
22024,469.12303,0.0144,0.1791141,840447,688591.677134,3.84
22025,469.12371,0.024,0.2984566,857581,688590.673453,7.19
22026,469.12459,0.0265,0.3297082,364279,688589.381276,8.07
22027,469.12525,0.0391,0.4859619,847072,688588.425451,12.46
22028,469.12618,0.0219,0.2726707,1165045,688587.058117,6.47
22029,469.12712,0.0594,0.7375299,914095,688585.680089,19.52
22030,469.1292,0.0149,0.1857185,1182774,688582.62009,4.03
22031,469.13517,0.5215,6.4793463,885488,688573.86134,180.77
22032,469.14641,0.0411,0.5107624,811810,688557.361591,13.15
22033,469.14824,0.0246,0.3059681,1180484,688554.669794,7.4
22034,469.14989,0.0138,0.1718175,327021,688552.247427,3.63
22035,469.15045,0.0511,0.6350877,873997,688551.430304,16.65
22036,469.15448,0.0215,0.2670385,927833,688545.5126,6.31
22037,469.15627,0.0169,0.2105979,1092881,688542.885917,4.72
22038,469.1595,0.0189,0.2352485,444317,688538.147792,5.42
22039,469.1601,0.0153,0.189619,413664,688537.263654,4.13
22040,469.16163,0.0171,0.2127202,1107475,688535.016219,4.78
22041,469.16349,0.0482,0.5988995,706212,688532.298413,15.63
22042,469.17155,0.2378,2.9550879,867237,688520.464128,81.8
22043,469.18289,0.0215,0.2670085,783728,688503.816241,6.31
22044,469.18461,0.0317,0.3941925,1025816,688501.302204,9.88
22045,469.18677,0.0285,0.3540842,632916,688498.122648,8.75
22046,469.19401,0.0153,0.1898772,738600,688487.502231,4.14
22047,469.19988,0.0312,0.3875656,1078810,688478.887849,9.69
22048,469.20795,0.0848,1.0532486,912472,688467.050383,28.39
22049,469.20876,0.0143,0.1782272,342840,688465.858117,3.81
22050,469.22101,0.0185,0.2297024,1193198,688447.892993,5.26
22051,469.22325,0.0153,0.189798,1050839,688444.598625,4.14
22052,469.24439,0.0202,0.2510405,866941,688413.581207,5.86
22053,469.28411,0.0252,0.312962,970380,688355.320295,7.6
22054,469.43772,0.0169,0.2097289,551420,688130.07674,4.7
22055,469.50253,0.0259,0.3218871,915920,688035.083362,7.85
22056,469.50661,0.0322,0.4005306,739537,688029.106214,10.06
22057,469.51712,0.0141,0.1757699,709363,688013.697977,3.75
22058,469.52075,0.0394,0.4895891,760730,688008.381088,12.56
22059,469.52474,0.0389,0.4834797,831414,688002.535226,12.39
22060,469.5263,0.0192,0.2388151,710560,688000.253914,5.52
22061,469.5313,0.0284,0.3530656,905174,687992.927781,8.72
22062,469.53531,0.0438,0.5439206,828749,687987.038327,14.08
22063,469.5389,0.0495,0.6144975,795606,687981.791598,16.07
22064,469.54296,0.0331,0.4118074,779138,687975.838688,10.37
22065,469.54456,0.0255,0.3174552,892376,687973.487285,7.72
22066,469.54946,0.0544,0.6761979,622135,687966.312672,17.8
22067,469.55351,0.0575,0.7148937,709207,687960.384548,18.89
22068,469.55514,0.021,0.2606863,714708,687957.987386,6.13
22069,469.55707,0.0346,0.4298548,737303,687955.155487,10.88
22070,469.55915,0.0169,0.2103055,1107183,687952.114316,4.72
22071,469.56121,0.0241,0.2996942,1024731,687949.097583,7.23
22072,469.56273,0.0217,0.2696941,775208,687946.873569,6.38
22073,469.564,0.0158,0.195814,1033428,687945.014306,4.31
22074,469.56697,0.0144,0.1790607,1064838,687940.651684,3.84
22075,469.56766,0.0549,0.6819104,657430,687939.651455,17.96
22076,469.57173,0.0481,0.5978491,734423,687933.69043,15.6
22077,469.57326,0.0273,0.3387351,819217,687931.441786,8.32
22078,469.57527,0.022,0.2732882,1240877,687928.49488,6.48
22079,469.58087,0.0151,0.1877756,1033899,687920.297145,4.08
