,M/z,Intensity,Relative,Resolution,Frequency,S/N
9187,576.05725,0.1255,0.6694648,794415,560766.457926,23.04
9188,576.06532,0.0477,0.2541507,554325,560758.602006,7.98
9189,576.09358,0.0484,0.2583232,812852,560731.094403,8.13
9190,576.13007,0.0364,0.1943478,695527,560695.579051,5.81
9191,577.00487,0.049,0.2614212,755374,559845.496059,8.25
9192,577.02589,0.0396,0.2111235,751212,559825.100755,6.42
9193,577.04126,0.1908,1.0174631,717909,559810.190055,35.66
9194,577.05248,0.0578,0.3081865,856586,559799.306783,9.94
9195,577.06049,0.0354,0.1888193,396670,559791.535476,5.61
9196,577.06238,0.0528,0.2817867,885494,559789.695752,8.98
9197,577.0776,0.0981,0.5234023,681734,559774.930663,17.75
9198,577.08886,0.0355,0.1892429,751047,559764.011418,5.63
9199,577.09872,0.0335,0.178843,626172,559754.452125,5.25
9200,577.11407,0.0412,0.2196429,733572,559739.563226,6.73
9201,577.11991,0.0424,0.2263839,772197,559733.894998,6.97
9202,577.13524,0.0418,0.2231044,572056,559719.026536,6.86
9203,577.18674,0.032,0.1708632,663095,559669.086187,4.96
9204,577.1927,0.0427,0.2278352,741321,559663.302547,7.03
9205,577.22901,0.0366,0.1952152,633871,559628.096939,5.84
9206,577.26545,0.0409,0.2179277,820281,559592.770655,6.67
9207,578.03649,0.1717,0.9157971,779001,558846.32242,31.98
9208,578.04458,0.0646,0.3444049,746511,558838.501351,11.25
9209,578.07284,0.094,0.5010601,723403,558811.185825,16.94
9210,578.08094,0.0353,0.1884858,820833,558803.357678,5.6
9211,578.10926,0.0563,0.3003767,721974,558775.983085,9.66
9212,579.0205,0.2026,1.0803696,776725,557896.591597,37.94
9213,579.03173,0.0495,0.2641681,711359,557885.768257,8.34
9214,579.03978,0.0482,0.2572471,691818,557878.009715,8.09
9215,579.05691,0.1694,0.9033391,750017,557861.506514,31.52
9216,579.06806,0.0424,0.2260032,862690,557850.763015,6.96
9217,579.07031,0.0895,0.4770789,805477,557848.600813,16.07
9218,579.0764,0.0395,0.2105497,597683,557842.730992,6.4
9219,579.07796,0.0446,0.2378939,535452,557841.225062,7.39
9220,579.09328,0.0807,0.4306176,548877,557826.471111,14.38
9221,579.12954,0.0463,0.2469447,829437,557791.542661,7.72
9222,579.17191,0.0355,0.1894284,851764,557750.738073,5.63
9223,579.20834,0.045,0.2401194,588383,557715.660093,7.47
9224,579.2446,0.0354,0.1886823,762246,557680.74144,5.61
9225,579.2809,0.0322,0.1719586,785334,557645.801157,5.0
9226,579.89248,0.1243,0.6626964,846250,557057.669573,22.8
9227,580.01574,0.0802,0.4278299,726314,556939.287395,14.28
9228,580.0239,0.0614,0.3274405,696102,556931.456967,10.64
9229,580.05216,0.14,0.7463729,779339,556904.315324,25.83
9230,580.06028,0.0536,0.2858272,634026,556896.522252,9.13
9231,580.06978,0.0354,0.1889947,743193,556887.404949,5.62
9232,580.08859,0.0914,0.4876026,754375,556869.343529,16.45
9233,580.12492,0.0372,0.198349,593628,556834.472086,5.96
9234,580.99976,0.0405,0.2158017,670888,555996.009189,6.59
9235,581.03616,0.2061,1.0993458,728520,555961.179009,38.63
9236,581.04756,0.0322,0.1717133,576676,555950.263637,4.99
9237,581.05146,0.0521,0.2778547,802680,555946.537781,8.84
9238,581.0555,0.0462,0.246506,756063,555942.665439,7.7
9239,581.07258,0.1304,0.6955491,768867,555926.324866,23.99
9240,581.09373,0.0402,0.214486,803531,555906.089947,6.54
9241,581.10898,0.0655,0.3491741,730015,555891.505469,11.43
9242,581.11494,0.039,0.207937,705110,555885.807374,6.31
9243,581.13011,0.0369,0.1968226,655628,555871.290434,5.9
9244,581.14534,0.0368,0.1960677,774915,555856.721914,5.88
9245,581.15129,0.0388,0.2069189,797803,555851.037738,6.27
9246,581.18739,0.0347,0.1851895,559827,555816.506991,5.48
9247,581.20296,0.0418,0.2231106,732289,555801.615123,6.86
9248,581.22398,0.0386,0.2057655,808459,555781.518574,6.23
9249,582.03146,0.1161,0.6192204,726681,555010.44633,21.22
9250,582.03951,0.0593,0.3162958,737053,555002.764355,10.24
9251,582.04665,0.0556,0.2967265,824950,554995.961487,9.53
9252,582.06779,0.108,0.5757534,756494,554975.805287,19.64
9253,582.07581,0.0415,0.2214747,693797,554968.156497,6.8
9254,582.08296,0.0514,0.2743215,793713,554961.339174,8.71
9255,582.10428,0.0558,0.2976404,720902,554941.016226,9.56
9256,582.1124,0.0355,0.1895425,810025,554933.271731,5.64
9257,582.11943,0.0327,0.1746236,688034,554926.565045,5.1
9258,583.01541,0.1284,0.6845779,679891,554073.740723,23.59
9259,583.03065,0.0503,0.2681449,540638,554059.265125,8.49
9260,583.03472,0.0325,0.1733107,701697,554055.394383,5.05
9261,583.05182,0.1458,0.7773963,727334,554039.145795,26.96
9262,583.063,0.0369,0.1968818,993952,554028.522414,5.9
9263,583.06704,0.0646,0.3445315,834175,554024.676922,11.26
9264,583.07296,0.0391,0.2086775,578318,554019.058514,6.33
9265,583.08821,0.0894,0.4769512,656977,554004.565695,16.06
9266,583.10923,0.0399,0.2130449,710899,553984.599324,6.49
9267,583.12456,0.0505,0.2695583,752036,553970.03043,8.54
9268,583.18203,0.0422,0.2249622,661523,553915.441863,6.92
9269,583.25493,0.0328,0.1747503,833917,553846.207505,5.1
9270,584.01065,0.0536,0.2859961,645641,553129.510597,9.14
9271,584.02594,0.0337,0.1795953,726253,553115.027389,5.28
9272,584.04707,0.0894,0.4767579,660289,553095.018872,16.05
9273,584.05517,0.0435,0.2321877,713143,553087.343103,7.19
