,M/z,Intensity,Relative,Resolution,Frequency,S/N
13917,561.07033,0.056,0.5073988,830290,575745.376598,15.58
13918,561.07106,0.0216,0.1957202,250635,575744.624627,5.28
13919,561.0734,0.0275,0.2494121,657938,575742.224474,7.06
13920,561.07805,0.1016,0.9197779,734197,575737.453758,29.21
13921,561.07955,0.0276,0.2502623,382480,575735.916803,7.09
13922,561.08032,0.0213,0.1931597,346815,575735.123235,5.2
13923,561.08312,0.0222,0.201262,643464,575732.252047,5.47
13924,561.0886,0.6146,5.5662518,771461,575726.631096,182.73
13925,561.09186,0.0246,0.2228673,744666,575723.283041,6.18
13926,561.09623,0.04,0.3625889,674742,575718.796909,10.8
13927,561.09975,0.0235,0.2128995,534393,575715.191318,5.85
13928,561.10171,0.0451,0.4080647,698181,575713.181715,12.3
13929,561.10382,0.075,0.6793076,731228,575711.010769,21.26
13930,561.10664,0.032,0.2895766,881170,575708.118582,8.39
13931,561.10775,0.0213,0.1927997,498289,575706.978796,5.19
13932,561.1098,0.0497,0.4498505,750633,575704.881386,13.68
13933,561.11442,0.0331,0.3000239,605337,575700.135164,8.73
13934,561.11687,0.022,0.1989568,683623,575697.620469,5.39
13935,561.11944,0.0201,0.1823709,889918,575694.986799,4.84
13936,561.12497,0.365,3.3058863,776889,575689.310861,108.05
