,M/z,Intensity,Relative,Resolution,Frequency,S/N
10010,386.04415,0.0268,0.3103077,395738,836782.049789,5.54
10011,386.0446,0.0801,0.9268781,1184301,836781.082416,18.33
10012,386.04614,0.1129,1.3054979,1059309,836777.741318,26.18
10013,386.04818,0.0304,0.3514156,1171588,836773.333438,6.39
10014,386.04908,0.0395,0.456544,1221549,836771.383579,8.57
10015,386.05176,0.2079,2.4043763,1176089,836765.565914,48.98
10016,386.05586,0.0166,0.1923587,922005,836756.671067,3.09
10017,386.0567,0.266,3.0762372,1102177,836754.847702,62.92
10018,386.05986,0.1069,1.2361352,1155528,836748.011591,24.74
10019,386.06236,0.023,0.2665666,995925,836742.597081,4.63
10020,386.063,0.0304,0.3514117,1411424,836741.210127,6.39
10021,386.06434,0.0933,1.0792826,933721,836738.296696,21.49
10022,386.06639,0.0196,0.2265085,1211103,836733.859347,3.8
10023,386.06729,0.0355,0.4102362,970409,836731.902118,7.61
10024,386.07001,0.0166,0.1919129,1237422,836726.000423,3.08
10025,386.0704,0.0158,0.1832269,989911,836725.162518,2.9
10026,386.0729,0.0871,1.0074157,1132837,836719.750235,20.0
10027,386.07489,0.1511,1.7473867,1137735,836715.432273,35.35
10028,386.07955,0.0181,0.2089203,1511583,836705.344368,3.43
10029,386.08099,0.1582,1.8295139,1222157,836702.219259,37.06
10030,386.08252,0.0265,0.3063096,686679,836698.888779,5.45
10031,386.08272,0.024,0.2774344,649072,836698.45983,4.85
10032,386.08541,0.022,0.2549943,1078703,836692.630341,4.39
10033,386.08814,0.1507,1.7436367,1165633,836686.712893,35.27
10034,386.0931,0.0832,0.9618825,1153699,836675.974508,19.05
10035,386.09625,0.0975,1.1279137,1182978,836669.139949,22.5
10036,386.09937,0.0327,0.3785989,1305214,836662.375725,6.95
10037,386.1007,0.0347,0.4014237,1111601,836659.502826,7.43
10038,386.10107,0.0177,0.2047813,466529,836658.701862,3.35
10039,386.10744,0.0152,0.1758033,1064843,836644.888691,2.74
