,m/z,I,S/N,Res.,I %
8330,520.03911,3761804,7.2,347290,1.3
8331,520.04367,4056717,7.9,344808,1.4
8332,520.05856,2943121,5.2,329698,1.0
8333,520.07513,2638229,4.4,282199,0.9
8334,521.00005,9029511,19.9,341776,3.1
8335,521.01168,3356554,6.2,384927,1.1
8336,521.01511,3104651,5.6,444137,1.1
8337,521.03037,2872207,5.0,353210,1.0
8338,521.03633,4660113,9.3,387451,1.6
8339,521.05148,17022868,39.2,333347,5.8
8340,521.05501,4553622,9.1,277446,1.6
8341,521.06667,6608793,14.0,371081,2.3
8342,521.0725,3266458,6.0,302518,1.1
8343,521.08758,3341214,6.1,382911,1.1
8344,521.10878,6072228,12.7,389490,2.1
8345,521.12413,2902440,5.1,370237,1.0
8346,521.14517,8533933,18.7,369752,2.9
8347,521.18134,2614199,4.4,441741,0.9
8348,521.27643,2959824,5.2,350758,1.0
8349,521.31199,4530137,9.0,331234,1.5
8350,521.348,2547682,4.2,253840,0.9
8351,521.38805,2557421,4.2,394806,0.9
8352,521.45752,2505727,4.1,399412,0.9
8353,522.05487,6617244,14.1,350007,2.3
8354,522.05785,2571420,4.3,568383,0.9
8355,522.05961,2535581,4.2,341908,0.9
8356,522.10391,2641064,4.4,405349,0.9
8357,522.1491,2513588,4.1,323584,0.9
8358,522.41793,2873595,5.0,430003,1.0
8359,522.51956,2684693,4.5,395526,0.9
8360,523.01531,5220759,10.7,370765,1.8
8361,523.03067,9574811,21.2,352455,3.3
8362,523.04601,5679519,11.8,384151,1.9
8363,523.05197,2917793,5.1,325009,1.0
8364,523.06724,4113829,8.0,384545,1.4
8365,523.08247,2887593,5.0,365172,1.0
8366,523.08831,3568042,6.7,370288,1.2
8367,523.09186,4851115,9.8,342788,1.7
8368,523.1247,8079796,17.6,352022,2.8
8369,523.16105,7659965,16.6,331750,2.6
8370,523.19733,2703815,4.6,565306,0.9
8371,523.23317,3120592,5.6,279692,1.1
8372,523.36422,4151794,8.1,372499,1.4
8373,523.37969,2622966,4.4,469000,0.9
8374,523.40047,3128316,5.6,330668,1.1
8375,523.43673,4235782,8.3,378227,1.4
8376,523.47309,3834383,7.3,381948,1.3
8377,524.03273,2596514,4.3,325506,0.9
8378,524.05359,5178023,10.6,376143,1.8
8379,524.06221,2817705,4.9,424185,1.0
8380,524.12877,2551995,4.2,263709,0.9
8381,524.70203,2614097,4.4,434799,0.9
8382,525.00992,3594146,6.7,335113,1.2
8383,525.03098,3546023,6.6,448996,1.2
8384,525.04605,4121515,8.0,322838,1.4
8385,525.06165,3939247,7.6,291974,1.3
8386,525.10369,3689402,7.0,388782,1.3
8387,525.11887,3094462,5.5,362471,1.1
8388,525.14027,7887812,17.1,377230,2.7
8389,525.17714,2602958,4.3,365522,0.9
8390,525.37975,2994691,5.3,356375,1.0
8391,525.41584,4139020,8.1,379787,1.4
8392,525.45263,11940886,26.9,351991,4.1
8393,526.03325,3035310,5.4,307479,1.0
8394,526.04158,3013809,5.3,425711,1.0
8395,526.06534,4346039,8.6,340713,1.5
8396,526.06932,2827960,4.9,394479,1.0
8397,526.11163,2857155,5.0,448406,1.0
8398,526.2161,2605278,4.3,410034,0.9
8399,526.23792,2481380,4.0,490685,0.8
8400,526.4562,3082525,5.5,288979,1.1
8401,527.02536,4511155,9.0,312079,1.5
8402,527.04089,4054455,7.9,360441,1.4
8403,527.04714,2511289,4.1,418302,0.9
8404,527.06208,4573629,9.1,299857,1.6
8405,527.08917,133912000,322.1,340664,45.7
8406,527.09849,3227078,5.9,392035,1.1
8407,527.11958,6884812,14.7,356698,2.3
8408,527.13481,3120592,5.6,300984,1.1
8409,527.15595,4495830,8.9,353005,1.5
8410,527.26487,3013106,5.3,409836,1.0
8411,527.30145,2604540,4.3,482801,0.9
8412,527.3228,3523073,6.6,369772,1.2
8413,527.33797,4392453,8.7,342138,1.5
8414,527.39561,2626068,4.4,382186,0.9
8415,527.4107,2632216,4.4,489860,0.9
