,m/z,I,S/N,Res.,I %
5528,412.64665,2297207,4.1,434842,0.7
5529,412.94645,2339355,4.2,412581,0.7
5530,412.96639,21613094,55.4,448923,6.7
5531,413.01262,2735680,5.3,358723,0.8
5532,413.015,4752961,10.6,459492,1.5
5533,413.03618,2328140,4.2,671634,0.7
5534,413.04913,2510163,4.7,307049,0.8
5535,413.05145,9681493,23.7,457926,3.0
5536,413.06191,2267738,4.0,606783,0.7
5537,413.06963,2484831,4.6,474139,0.8
5538,413.07254,3855968,8.2,411875,1.2
5539,413.08779,7684713,18.4,440354,2.4
5540,413.10884,5067380,11.5,428790,1.6
5541,413.12418,5413501,12.4,425396,1.7
5542,413.1453,3802760,8.1,562759,1.2
5543,413.15328,2315148,4.2,283524,0.7
5544,413.16058,5399184,12.3,483622,1.7
5545,413.17363,2270359,4.0,375275,0.7
5546,413.19703,4196004,9.2,428092,1.3
5547,413.25435,2376387,4.3,562505,0.7
5548,413.26221,2344136,4.2,405026,0.7
5549,413.29087,4393688,9.7,557990,1.4
5550,413.32714,4239083,9.3,437448,1.3
5551,413.39932,2365202,4.3,558561,0.7
5552,413.78332,2354659,4.3,501729,0.7
5553,413.99821,2661208,5.1,363918,0.8
5554,414.02261,2660965,5.1,388520,0.8
5555,414.04117,2737263,5.3,495786,0.8
5556,414.05924,4078713,8.8,463552,1.3
5557,414.09142,2521739,4.7,509987,0.8
5558,414.09566,3432589,7.1,473475,1.1
5559,414.12766,2389150,4.4,446974,0.7
5560,414.13891,2448036,4.5,318549,0.8
5561,414.18519,2319037,4.2,387020,0.7
5562,414.30641,2293503,4.1,480544,0.7
5563,414.91595,2438216,4.5,582675,0.8
5564,414.94605,3443288,7.2,488461,1.1
5565,415.02816,3103877,6.3,473455,1.0
5566,415.0307,9483910,23.2,428476,2.9
5567,415.04878,3734160,7.9,436344,1.2
5568,415.06705,11507353,28.6,459024,3.6
5569,415.07516,2335902,4.2,512458,0.7
5570,415.08823,2674853,5.1,416369,0.8
5571,415.10345,8212141,19.8,468669,2.5
5572,415.13988,8046273,19.4,484003,2.5
