,m/z,I,S/N,Res.,I %
428,213.01939,9626038,27.2,727650,20.4
429,213.03059,2716598,6.3,800769,5.8
430,213.04382,2289846,5.0,840362,4.9
431,213.05575,7834550,21.8,768886,16.6
432,213.06924,1992886,4.1,1003413,4.2
433,213.09217,3307319,8.0,810755,7.0
434,213.09441,1975991,4.0,1085675,4.2
435,213.13967,2005559,4.1,1135816,4.3
436,213.14268,2413879,5.3,877393,5.1
437,213.1581,2074743,4.3,649493,4.4
438,213.15962,2030263,4.2,997068,4.3
439,213.21238,2381112,5.2,836346,5.0
440,213.25083,2005688,4.1,967450,4.3
441,213.30313,2091321,4.4,1119002,4.4
442,213.31499,2216121,4.7,1184726,4.7
443,213.33753,2040890,4.2,537621,4.3
444,213.36601,2053306,4.2,1137491,4.4
445,213.37186,1989434,4.1,641127,4.2
446,213.39486,1978170,4.0,1024050,4.2
447,213.44092,2152571,4.5,814954,4.6
448,213.48054,2780475,6.5,852547,5.9
449,213.50204,2175292,4.6,922414,4.6
450,213.57119,2655421,6.1,935052,5.6
451,213.63703,2006333,4.1,1142344,4.3
452,213.63825,2098621,4.4,554834,4.4
453,213.7582,2010943,4.1,941734,4.3
454,213.75971,2419519,5.4,851916,5.1
455,213.92166,1997249,4.1,1053514,4.2
456,213.97301,2107842,4.4,947556,4.5
457,213.97911,2280386,4.9,617107,4.8
458,213.9795,2275010,4.9,1230805,4.8
459,214.01677,2171971,4.6,890437,4.6
460,214.02621,2182659,4.6,844263,4.6
461,214.02718,2652227,6.1,809195,5.6
462,214.05098,3520836,8.7,782871,7.5
463,214.06621,2276036,4.9,1004915,4.8
464,214.0836,2026564,4.2,1151691,4.3
465,214.1132,2049220,4.2,680834,4.3
466,214.19037,2059334,4.3,782326,4.4
467,214.23339,2087110,4.3,592139,4.4
468,214.27798,2028871,4.2,1256040,4.3
469,214.30277,2009032,4.1,725174,4.3
470,214.418,2299210,5.0,1030702,4.9
471,214.45685,2038634,4.2,666424,4.3
472,214.50939,2036491,4.2,802842,4.3
473,214.5139,2102347,4.4,941410,4.5
474,214.5535,2290124,5.0,876535,4.9
475,214.6083,2186061,4.6,1000405,4.6
476,214.70421,2045775,4.2,742269,4.3
477,214.76393,2277456,4.9,1040259,4.8
478,214.83187,2430929,5.4,838090,5.2
479,214.85974,2140498,4.5,1001616,4.5
480,214.86396,1980626,4.0,985247,4.2
481,214.88378,2032850,4.2,882526,4.3
482,214.90147,2101587,4.4,1050472,4.5
483,214.91148,2114771,4.4,1084077,4.5
484,214.91855,2073683,4.3,874999,4.4
485,214.92675,1983827,4.0,977428,4.2
486,214.93734,2355092,5.2,713801,5.0
487,214.99294,1984597,4.0,861012,4.2
488,214.99865,4914901,12.9,849445,10.4
489,215.01368,2290005,5.0,865346,4.9
490,215.03501,8099798,22.6,809358,17.2
491,215.0714,5156566,13.7,930322,10.9
492,215.11946,2163159,4.6,844386,4.6
493,215.13704,2288856,5.0,895945,4.9
494,215.16882,1978392,4.0,904447,4.2
495,215.18328,2390553,5.3,807035,5.1
496,215.21097,1983577,4.0,1203241,4.2
497,215.28374,2062619,4.3,833039,4.4
498,215.33746,1979996,4.0,1017672,4.2
499,215.35409,2162269,4.6,909280,4.6
500,215.3618,2058077,4.3,873555,4.4
501,215.40678,2597854,5.9,885375,5.5
502,215.443,2091358,4.4,933311,4.4
503,215.47865,2005855,4.1,889147,4.3
504,215.50887,2073056,4.3,974551,4.4
505,215.553,2046689,4.2,1177659,4.3
506,215.56263,2139361,4.5,945584,4.5
507,215.5641,2103393,4.4,553502,4.5
508,215.58163,2331810,5.1,843960,4.9
509,215.60903,2086754,4.3,1248112,4.4
510,215.64493,2012835,4.1,795119,4.3
511,215.74407,2213670,4.7,787805,4.7
512,215.75906,2155750,4.6,978609,4.6
513,215.7842,2162855,4.6,735018,4.6
514,215.78509,1998951,4.1,802352,4.2
515,215.79927,2036455,4.2,531519,4.3
516,215.80825,2020967,4.1,949649,4.3
517,215.81845,2052455,4.2,649684,4.4
518,215.82908,2319848,5.1,1101729,4.9
