exp	town	abundance	mw	error	C	H	O	N	S	y
SRFA	1	0.011149265	346.108576	-0.141738759	15	22	7	0	1	8
SRFA	1	0.056837008	672.023556	0.093218459	28	16	20	0	0	4
SRFA	1	0.172151778	638.054286	-0.177898656	29	18	17	0	0	7
SRFA	1	0.012500299	387.095306	-0.286032918	19	17	8	1	0	7
SRFA	1	0.159806295	552.054006	0.000879	26	16	14	0	0	7
SRFA	1	0.033292978	483.101396	0.219270739	20	21	13	1	0	7
SRFA	1	0.022292556	483.043876	0.208813329	22	13	12	1	0	6
SRFA	1	0.058147222	768.044526	-0.126012225	33	20	22	0	0	3
SRFA	1	0.275009558	454.038376	0.045280313	18	14	14	0	0	8
SRFA	1	0.036172263	489.127276	0.337613558	23	23	11	1	0	5
SRFA	1	0.123948643	586.023006	-0.159312858	25	14	17	0	0	8
SRFA	1	0.15542564	488.080286	0.134602855	19	20	15	0	0	8
SRFA	1	0.175656302	664.200206	-0.195024029	31	36	16	0	0	7
SRFA	1	0.120388365	658.226106	-0.076461568	33	38	14	0	0	6
SRFA	1	0.176397031	500.022706	0.001265943	22	12	14	0	0	8
SRFA	1	0.26014719	608.210436	-0.115511007	29	36	14	0	0	7
SRFA	1	0.157870842	442.090016	0.042912075	22	18	10	0	0	9
SRFA	1	0.235504014	486.152606	0.017844191	25	26	10	0	0	9
SRFA	1	0.120386374	328.152236	0.099554403	16	24	7	0	0	9
SRFA	1	0.014884271	323.100426	-0.235474775	15	17	7	1	0	8
SRFA	1	0.171610169	726.106686	-0.197057819	33	26	19	0	0	6
SRFA	1	0.040846621	372.011836	0.240156337	17	8	10	0	0	8
SRFA	1	0.046922789	590.069656	0.000697	29	18	14	0	0	7
SRFA	1	0.19685469	314.136576	0.072398446	15	22	7	0	0	9
SRFA	1	0.119277272	426.058746	0.115286919	21	14	10	0	0	9
SRFA	1	0.316808972	594.194836	-0.033963607	28	34	14	0	0	7
SRFA	1	0.063169045	718.080246	0.393347403	26	26	20	2	1	1
SRFA	1	0.024437086	522.007186	0.250393105	24	10	14	0	0	6
